,,0,1
HRV_MinNN,std,189.1204006481617,199.4905654042408
HRV_MinNN,min,15.625,15.625
HRV_MinNN,25%,421.875,406.25
HRV_MinNN,50%,515.625,531.25
HRV_MinNN,75%,625.0,656.25
HRV_MinNN,max,1562.5,1937.5
HRV_MaxNN,count,3973.0,14146.0
HRV_MaxNN,mean,1286.4727535867103,1294.6548494274
HRV_MaxNN,std,365.03780487341504,348.40360030444066
HRV_MaxNN,min,531.25,359.375
HRV_MaxNN,25%,1031.25,1046.875
HRV_MaxNN,50%,1250.0,1250.0
HRV_MaxNN,75%,1500.0,1484.375
HRV_MaxNN,max,3500.0,3687.5
HRV_HTI,count,3973.0,14146.0
HRV_HTI,mean,6.098037047690961,6.266929985514745
HRV_HTI,std,2.372486834610523,2.360494178287451
HRV_HTI,min,1.1333333333333333,1.2857142857142858
HRV_HTI,25%,4.5,4.5
HRV_HTI,50%,5.5,6.0
HRV_HTI,75%,7.5,8.0
HRV_HTI,max,15.0,17.0
HRV_TINN,count,3973.0,14146.0
HRV_TINN,mean,120.1272652907123,121.66646048352891
HRV_TINN,std,161.5556230371902,163.03597296087312
HRV_TINN,min,0.0,0.0
HRV_TINN,25%,0.0,0.0
HRV_TINN,50%,46.875,46.875
HRV_TINN,75%,203.125,203.125
HRV_TINN,max,1250.0,1125.0
window_start_sec,count,3973.0,14146.0
window_start_sec,mean,5608.867354643846,4523.457514491729
window_start_sec,std,6689.574884529215,4966.44730389927
window_start_sec,min,0.0,0.0
window_start_sec,25%,780.0,1055.0
window_start_sec,50%,3915.0,2655.0
window_start_sec,75%,6625.0,6320.0
window_start_sec,max,22690.0,21715.0
start_unix,count,3973.0,14146.0
start_unix,mean,1595534422.7679336,1596267140.1895235
start_unix,std,4186115.809746499,6341771.01735535
start_unix,min,1589045282.0,1586886626.0
start_unix,25%,1593443846.0,1593109641.25
start_unix,50%,1593703640.0,1594043757.5
start_unix,75%,1594912675.0,1604022512.75
start_unix,max,1604646288.0,1607824849.0
end_unix,count,3973.0,14146.0
end_unix,mean,1595534432.7679336,1596267150.1895235
end_unix,std,4186115.809746499,6341771.01735535
end_unix,min,1589045292.0,1586886636.0
end_unix,25%,1593443856.0,1593109651.25
end_unix,50%,1593703650.0,1594043767.5
end_unix,75%,1594912685.0,1604022522.75
end_unix,max,1604646298.0,1607824859.0
label,count,3973.0,14146.0
label,mean,0.0,1.9664922946415948
label,std,0.0,0.1799645202179905
label,min,0.0,1.0
label,25%,0.0,2.0
label,50%,0.0,2.0
label,75%,0.0,2.0
label,max,0.0,2.0
