,,0,1
HRV_MinNN,std,113.462469697891,124.67431791379732
HRV_MinNN,min,312.5,312.5
HRV_MinNN,25%,375.0,359.375
HRV_MinNN,50%,437.5,421.875
HRV_MinNN,75%,531.25,515.625
HRV_MinNN,max,1343.75,1125.0
HRV_MaxNN,count,3962.0,14105.0
HRV_MaxNN,mean,1311.8887241292277,1311.0122740163063
HRV_MaxNN,std,465.6054412453606,410.90783082116724
HRV_MaxNN,min,531.25,500.0
HRV_MaxNN,25%,1046.875,1062.5
HRV_MaxNN,50%,1250.0,1250.0
HRV_MaxNN,75%,1484.375,1468.75
HRV_MaxNN,max,6328.125,6406.25
HRV_HTI,count,3962.0,14105.0
HRV_HTI,mean,6.566055102842079,6.787314022383147
HRV_HTI,std,2.659960363064316,2.6593002174729654
HRV_HTI,min,1.2142857142857142,1.3
HRV_HTI,25%,4.666666666666667,5.0
HRV_HTI,50%,6.0,6.0
HRV_HTI,75%,8.0,9.0
HRV_HTI,max,15.0,15.0
HRV_TINN,count,3962.0,14105.0
HRV_TINN,mean,139.79681978798587,145.51355902162354
HRV_TINN,std,173.18678686888327,175.08072299065216
HRV_TINN,min,0.0,0.0
HRV_TINN,25%,0.0,0.0
HRV_TINN,50%,62.5,78.125
HRV_TINN,75%,234.375,250.0
HRV_TINN,max,1265.625,1187.5
window_start_sec,count,3962.0,14105.0
window_start_sec,mean,5611.355376072691,4523.836228287842
window_start_sec,std,6688.1696532146925,4966.710809623107
window_start_sec,min,0.0,0.0
window_start_sec,25%,785.0,1055.0
window_start_sec,50%,3927.5,2655.0
window_start_sec,75%,6623.75,6320.0
window_start_sec,max,22685.0,21715.0
start_unix,count,3962.0,14105.0
start_unix,mean,1595534855.375568,1596268528.7144985
start_unix,std,4185756.9979914874,6341293.572541513
start_unix,min,1589045282.0,1586886626.0
start_unix,25%,1593443857.25,1593109645.0
start_unix,50%,1593703642.5,1594043755.0
start_unix,75%,1594912678.75,1604022514.0
start_unix,max,1604646288.0,1607824849.0
end_unix,count,3962.0,14105.0
end_unix,mean,1595534865.375568,1596268538.7144985
end_unix,std,4185756.9979914874,6341293.572541513
end_unix,min,1589045292.0,1586886636.0
end_unix,25%,1593443867.25,1593109655.0
end_unix,50%,1593703652.5,1594043765.0
end_unix,75%,1594912688.75,1604022524.0
end_unix,max,1604646298.0,1607824859.0
label,count,3962.0,14105.0
label,mean,0.0,1.9665366891173344
label,std,0.0,0.1798494117960543
label,min,0.0,1.0
label,25%,0.0,2.0
label,50%,0.0,2.0
label,75%,0.0,2.0
label,max,0.0,2.0
