,,0,1
HRV_ULF,count,0.0,0.0
HRV_ULF,mean,,
HRV_ULF,std,,
HRV_ULF,min,,
HRV_ULF,25%,,
HRV_ULF,50%,,
HRV_ULF,75%,,
HRV_ULF,max,,
HRV_VLF,count,0.0,0.0
HRV_VLF,mean,,
HRV_VLF,std,,
HRV_VLF,min,,
HRV_VLF,25%,,
HRV_VLF,50%,,
HRV_VLF,75%,,
HRV_VLF,max,,
HRV_LF,count,644.0,2302.0
HRV_LF,mean,0.03365091635247082,0.03400587639196454
HRV_LF,std,0.01606649188928701,0.01568803012426344
HRV_LF,min,2.2431200022292856e-05,0.0001725963353471
HRV_LF,25%,0.0208569793343025,0.021627641915616076
HRV_LF,50%,0.03297255268935845,0.033686800114896095
HRV_LF,75%,0.0469373569107836,0.04670579147279868
HRV_LF,max,0.0663415261826547,0.0685282903421732
HRV_HF,count,647.0,2308.0
HRV_HF,mean,0.08102190166208953,0.08883649506290689
HRV_HF,std,0.046340358369915305,0.043285167346292695
HRV_HF,min,7.716120022550494e-06,5.3500235402216965e-05
HRV_HF,25%,0.04375425823052265,0.05919351679787235
HRV_HF,50%,0.0868421208701362,0.0956416373195314
HRV_HF,75%,0.11454302828028605,0.12100146600231527
HRV_HF,max,0.2009062055336869,0.1918957319705544
HRV_VHF,count,647.0,2308.0
HRV_VHF,mean,0.016120326583437736,0.017653785220184088
HRV_VHF,std,0.015017874761225947,0.015092361287757325
HRV_VHF,min,1.2990095986954332e-06,2.534013447959763e-07
HRV_VHF,25%,0.00398322187595025,0.006063740674031174
HRV_VHF,50%,0.0121467324872667,0.0141808721034615
HRV_VHF,75%,0.02321761889491205,0.02553572955422845
HRV_VHF,max,0.070774717859827,0.0788231824856692
HRV_TP,count,647.0,2308.0
HRV_TP,mean,0.13063711252835766,0.14040775318356868
HRV_TP,std,0.059955992414955854,0.05660878102717001
HRV_TP,min,3.221593245667775e-05,0.0002039103522445
HRV_TP,25%,0.08928568558523425,0.10616243335176226
HRV_TP,50%,0.137224068392184,0.14858411863729595
HRV_TP,75%,0.17370125827152444,0.1797520314874613
HRV_TP,max,0.274465339137533,0.3000106162995575
HRV_LFHF,count,644.0,2302.0
HRV_LFHF,mean,1.7932880477333193,1.40918412404466
HRV_LFHF,std,5.522240484769149,5.650926947127477
HRV_LFHF,min,0.0316639557950011,0.0180372954047762
HRV_LFHF,25%,0.2331203251473125,0.2288311800349208
HRV_LFHF,50%,0.43157692557463373,0.379802585447895
HRV_LFHF,75%,0.8597749372940257,0.6395084851852029
HRV_LFHF,max,66.83354742050275,126.34323707429682
HRV_LFn,count,644.0,2302.0
HRV_LFn,mean,0.33394570866740264,0.2960720268344918
HRV_LFn,std,0.23371447495847175,0.20481164244964178
HRV_LFn,min,0.0233464751079072,0.0145690738737233
HRV_LFn,25%,0.15918683608345008,0.16052818501872412
HRV_LFn,50%,0.26410101503675365,0.2396180513070856
HRV_LFn,75%,0.4230719551679145,0.34923113351880986
HRV_LFn,max,0.985175042279714,0.9920767808532348
HRV_HFn,count,647.0,2308.0
HRV_HFn,mean,0.5621085084352623,0.5929516698504798
HRV_HFn,std,0.19467287964872473,0.17272204795967724
HRV_HFn,min,0.0147407264809871,0.0078522349421033
HRV_HFn,25%,0.47471329814364877,0.5296153505771101
HRV_HFn,50%,0.6001152224935815,0.6276777739289836
HRV_HFn,75%,0.7009166889319932,0.7057366920703209
HRV_HFn,max,0.9290659894928242,0.9979028809107224
HRV_LnHF,count,647.0,2308.0
HRV_LnHF,mean,-2.9325976540251557,-2.7303654855887194
HRV_LnHF,std,1.3425857806318937,1.1623554510929976
HRV_LnHF,min,-11.772198908019671,-9.835824504030557
HRV_LnHF,25%,-3.1291669202437316,-2.826943603234833
HRV_LnHF,50%,-2.443663511537247,-2.347147021831092
HRV_LnHF,75%,-2.166804837897213,-2.1119526183838433
HRV_LnHF,max,-1.6049171189688711,-1.6508031171196482
window_start_sec,count,647.0,2308.0
window_start_sec,mean,5630.494590417311,4514.740034662045
window_start_sec,std,6709.7777922413725,4975.65993009279
window_start_sec,min,0.0,0.0
window_start_sec,25%,780.0,1050.0
window_start_sec,50%,3960.0,2640.0
window_start_sec,75%,6615.0,6300.0
window_start_sec,max,22650.0,21660.0
start_unix,count,647.0,2308.0
start_unix,mean,1595539689.0680063,1596278212.3019931
start_unix,std,4179756.8840739448,6346052.668831372
start_unix,min,1589045267.0,1586886712.0
start_unix,25%,1593443886.0,1593109717.5
start_unix,50%,1593703620.0,1594043635.0
start_unix,75%,1594912675.0,1604022516.5
start_unix,max,1604646233.0,1607824799.0
end_unix,count,647.0,2308.0
end_unix,mean,1595539749.0680063,1596278272.3019931
end_unix,std,4179756.8840739448,6346052.668831372
end_unix,min,1589045327.0,1586886772.0
end_unix,25%,1593443946.0,1593109777.5
end_unix,50%,1593703680.0,1594043695.0
end_unix,75%,1594912735.0,1604022576.5
end_unix,max,1604646293.0,1607824859.0
label,count,647.0,2308.0
label,mean,0.0,1.9679376083188909
label,std,0.0,0.17620399256030445
label,min,0.0,1.0
label,25%,0.0,2.0
label,50%,0.0,2.0
label,75%,0.0,2.0
label,max,0.0,2.0
