EDA_Mean,EDA_Min,EDA_Max,EDA_Std,EDA_Kurtosis,EDA_Skew,EDA_Num_Peaks,EDA_Amphitude,EDA_Duration,HR_Mean,HR_Min,HR_Max,HR_Std,HR_RMS,temp_Mean,temp_Min,temp_Max,temp_Std,temp_rms,HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_SDANN2,HRV_SDNNI2,HRV_SDANN5,HRV_SDNNI5,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_SDRMSSD,HRV_Prc20NN,HRV_Prc80NN,HRV_pNN50,HRV_pNN20,HRV_MinNN,HRV_MaxNN,HRV_HTI,HRV_TINN,window_start_sec,start_unix,end_unix,label
1.315085825,0.0,1.855691,0.6157769893955476,-0.4263622409103043,-0.9199425668273286,1,1.855691,27.977925861841758,68.145,64.0,70.33,1.7896941079413538,2.5952435124451974,36.966,36.95,36.99,0.011999999999999032,0.010127393670836092,1571.875,1122.5341900416663,,,,,,,1371.9559699909287,1522.5825592523984,0.7141370592710402,0.8728149312069526,984.375,347.484375,0.353,1062.5,0.818199865443997,812.5,2193.7500000000005,80.0,80.0,750.0,3406.25,5.0,0.0,0.0,1593092855.0,1593092865.0,0
1.45236945,0.0,2.388892,0.8056104794378283,-1.0451474530156812,-0.480885955579303,0,0.0,0.0,67.25500000000001,65.4,70.0,1.4085613227687321,0.5550575545732969,36.906,36.59,36.99,0.11757550765359226,0.042244708362295026,1017.578125,414.95124464841393,,,,,,,581.8533255131522,627.1354886553243,0.407783180921282,0.5718021164351899,945.3125,173.7421875,0.18379338842975207,199.21875,0.713154374914773,818.75,1143.7500000000002,87.5,87.5,468.75,1890.625,8.0,0.0,5.0,1593092860.0,1593092870.0,0
2.028790125,0.0,2.388892,0.551640159748236,6.888499329357527,-2.776427083082013,2,0.31390799999999963,16.78040651230557,65.427,64.35,66.82,0.7820875910024392,0.300573525854231,36.777,36.47,36.97,0.16161992451427554,0.05757937664984441,1203.125,446.15691139254284,,,,,,,710.1787388720063,774.6859662819295,0.3708317185600356,0.5902784323092001,953.125,254.82187499999998,0.2673540983606557,625.0,0.6282318618847762,875.0,1687.5000000000005,85.71428571428571,85.71428571428571,781.25,1843.75,7.0,0.0,10.0,1593092865.0,1593092875.0,0
2.17732465,2.103172,2.260766,0.034732593379670065,-0.20166961497863678,-0.07829146184061611,1,0.08071899999999976,14.615378842459267,64.586,64.24,65.12,0.29638488490474885,0.17314091884294375,36.794000000000004,36.47,36.91,0.13639648089302042,0.03644454867610709,949.6527777777778,407.133787601747,,,,,,,315.4644548370307,304.92350063391194,0.4287185770724063,0.3321892614006027,718.75,23.165625,0.032230434782608695,531.25,1.2905852984675334,703.125,1259.375,44.44444444444444,44.44444444444444,625.0,1812.5,4.5,78.125,15.0,1593092870.0,1593092880.0,0
2.1628144750000002,2.13136,2.197985,0.02007102837299014,-1.1913881831700237,-0.023521386764759095,0,0.0,0.0,63.91099999999999,63.07,64.48,0.5574307131832631,0.23175657727691645,36.894999999999996,36.84,36.91,0.020615528128086095,0.00974021534011314,683.59375,48.56105941469227,,,,,,,60.14748681744355,63.06562238868913,0.07103789262949269,0.08798718071580314,695.3125,46.33125,0.06663370786516853,70.3125,0.8073663919172918,631.25,718.75,33.33333333333333,50.0,593.75,750.0,6.0,31.25,20.0,1593092875.0,1593092885.0,0
2.2176128999999998,2.13136,2.63603,0.1176946385188807,4.937107186615766,2.3696477189449285,1,0.03971899999999984,6.205313091978052,63.063,62.43,64.08,0.4581277114517292,0.23746344747958364,36.918,36.89,36.93,0.013266499161422174,0.005547001962251844,732.9545454545455,199.90898141972693,,,,,,,317.15286140913184,331.11239280139705,0.27274403666567393,0.4327046791318388,687.5,138.99375,0.20217272727272728,171.875,0.6303237515547476,625.0,812.5,54.54545454545454,72.72727272727273,421.875,1125.0,5.5,203.125,25.0,1593092880.0,1593092890.0,0
2.53160865,2.189016,2.875625,0.26984181630341786,-1.727071447831489,-0.13018606337904523,1,0.16784399999999966,8.14979195318509,62.327999999999996,61.72,62.97,0.43196759137694696,0.15007405579320637,36.88199999999999,36.57,36.95,0.11285388783732726,0.04460654200611874,944.4444444444445,340.10057744405225,,,,,,,467.6092891139193,499.8561107132839,0.3601064937642906,0.4951157178853263,828.125,301.153125,0.3636566037735849,500.0,0.7273178385496031,668.75,1225.0,88.88888888888889,88.88888888888889,515.625,1546.875,9.0,0.0,30.0,1593092885.0,1593092895.0,0
2.5187957499999998,2.161967,2.875625,0.27956230815944677,-1.7632263882996446,-0.08464624571565181,1,0.22678200000000004,8.896766446487202,61.80200000000001,61.59,62.31,0.2112723360972747,0.12046207333061835,36.784,36.57,36.95,0.12297967311714625,0.049406736797988064,744.3181818181819,316.9428495586604,,,,,,,509.83970366920227,532.2830030279945,0.4258163474986582,0.6849754797387755,625.0,208.490625,0.33358499999999996,421.875,0.6216519570321684,500.0,1093.75,90.9090909090909,90.9090909090909,421.875,1312.5,11.0,0.0,35.0,1593092890.0,1593092900.0,0
2.18105725,2.046654,2.661655,0.1211054491001024,5.575513444855483,2.1747653784613097,0,0.0,0.0,62.274,61.59,64.02,0.8110881579705114,0.3668484397919352,36.775999999999996,36.61,36.83,0.06327716807822592,0.02124340018175132,795.4545454545455,353.2393720655623,,,,,,,410.4054302607362,432.6021726216183,0.4440723534538497,0.5159382551849254,750.0,115.828125,0.1544375,117.1875,0.8607083289349863,671.875,843.75,63.63636363636363,72.72727272727273,250.0,1578.125,11.0,0.0,40.0,1593092895.0,1593092905.0,0
2.09912105,1.983872,2.164529,0.04887446382772399,-0.3907769525228475,-0.6119036444691095,1,0.1255630000000001,11.230262714542224,64.295,62.0,66.73,1.58992609891152,0.5360451888082244,36.824,36.81,36.84,0.011999999999999508,0.005773502691895425,904.5138888888889,177.88574331185484,,,,,,,183.13606515204754,193.88990844286388,0.19666446861349018,0.2024690470778875,796.875,115.828125,0.1453529411764706,281.25,0.9713310328261467,759.375,1071.875,55.55555555555556,77.77777777777779,718.75,1187.5,9.0,0.0,45.0,1593092900.0,1593092910.0,0
