EDA_Mean,EDA_Min,EDA_Max,EDA_Std,EDA_Kurtosis,EDA_Skew,EDA_Num_Peaks,EDA_Amphitude,EDA_Duration,HR_Mean,HR_Min,HR_Max,HR_Std,HR_RMS,temp_Mean,temp_Min,temp_Max,temp_Std,temp_rms,HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_SDANN2,HRV_SDNNI2,HRV_SDANN5,HRV_SDNNI5,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_SDRMSSD,HRV_Prc20NN,HRV_Prc80NN,HRV_pNN50,HRV_pNN20,HRV_MinNN,HRV_MaxNN,HRV_HTI,HRV_TINN,window_start_sec,start_unix,end_unix,label
0.06544837499999999,0.0,0.125518,0.053455780608222106,-1.8028584612344296,-0.28679678904677747,0,0.0,0.0,79.38300000000001,78.35,80.33,0.6925034295943959,0.23204405711942783,34.489999999999995,34.34,34.59,0.07197221686178602,0.028284271247461107,723.0113636363636,258.5539441692092,,,,,,,323.1014256390708,339.79735075973343,0.35760702690593965,0.4468829148328209,671.875,185.325,0.2758325581395349,218.75,0.8002253275664402,546.875,828.125,81.81818181818183,81.81818181818183,390.625,1234.375,11.0,0.0,75.0,1593711303.0,1593711313.0,0
0.11107654999999998,0.062759,0.121675,0.012846266488653424,6.529101714159289,-2.7339291565367954,0,0.0,0.0,78.43299999999999,78.0,79.27,0.4046739428231073,0.16973836075298654,34.42900000000001,34.34,34.49,0.04011234224026299,0.026311740579210145,693.5096153846154,230.2182131828187,,,,,,,311.06441086748146,324.7139621220031,0.33196109769169,0.44853655085224364,625.0,185.325,0.29652,218.75,0.7400982084089827,518.75,803.1250000000001,76.92307692307693,84.61538461538461,468.75,1234.375,13.0,0.0,80.0,1593711308.0,1593711318.0,0
0.0929214,0.0,0.120394,0.040378411601869627,0.6986267896428111,-1.4803081220780883,1,0.007683999999999996,5.0,78.086,78.0,78.28,0.09769339793455956,0.07586537784494142,34.385000000000005,34.27,34.45,0.05499999999999965,0.01414213562373007,627.2321428571429,203.34281432438826,,,,,,,299.5200989307087,311.54702450443034,0.32419067906521687,0.47752670576853196,570.3125,115.828125,0.2030958904109589,222.65625,0.6788953898263429,493.75,756.25,78.57142857142857,78.57142857142857,359.375,1062.5,7.0,140.625,85.0,1593711313.0,1593711323.0,0
0.04178585,0.0,0.120394,0.04742361279549988,-1.410560961697975,0.4961928438423159,0,0.0,0.0,78.126,78.0,78.35,0.11280070921762805,0.08452481555403873,34.352999999999994,34.27,34.43,0.05139066063011682,0.02855494029733872,626.1160714285714,230.4123574842635,,,,,,,357.38369712558773,371.9578123694841,0.36800262443119447,0.5707946392594057,640.625,150.5765625,0.23504634146341463,199.21875,0.6447198328783716,493.75,784.375,92.85714285714286,92.85714285714286,109.375,1000.0,7.0,546.875,90.0,1593711318.0,1593711328.0,0
0.033588799999999995,0.0,0.093498,0.03954360035846508,-1.7687826533247986,0.3881217901617611,1,0.093498,12.75532358074404,78.10799999999999,77.97,78.35,0.11124747188138685,0.05773502691896093,34.291,34.07,34.43,0.10084145972763317,0.05139091010116117,728.6931818181819,155.97988014921552,,,,,,,220.30695915018208,232.01356671300258,0.21405426047767587,0.3023315774692557,734.375,208.490625,0.28390212765957445,210.9375,0.7080115886983165,578.125,875.0,90.9090909090909,90.9090909090909,453.125,937.5,5.5,281.25,95.0,1593711323.0,1593711333.0,0
0.02660845,0.0,0.093498,0.03830670568970269,-1.3360926162835267,0.7833498797316532,1,0.093498,12.755323580744044,77.962,77.83,78.07,0.07639371701913457,0.049888765156986405,34.284000000000006,34.07,34.39,0.09200000000000015,0.043530125141926404,1033.203125,186.6493912572351,,,,,,,277.2533492004328,296.306630110801,0.18065120666106685,0.2683435062204567,1015.625,138.99375,0.13685538461538463,128.90625,0.673208788263553,918.75,1118.75,50.0,75.0,765.625,1390.625,8.0,0.0,100.0,1593711328.0,1593711338.0,0
0.006243875,0.0,0.057636,0.016329987106834316,3.764102915842961,2.3602519870354417,0,0.0,0.0,78.239,77.83,79.22,0.4559265291688979,0.20755186768077552,34.325,34.27,34.39,0.04031128874149213,0.01934835844093682,1151.0416666666667,137.52367220470325,,,,,,,94.78594305064438,90.03037681804959,0.11947757947195937,0.08234796862318425,1187.5,138.99375,0.11704736842105264,226.5625,1.4508867853034282,1000.0,1281.25,50.0,66.66666666666666,968.75,1281.25,3.0,0.0,105.0,1593711333.0,1593711343.0,0
0.044475475,0.0,0.083251,0.03592723571052155,-1.731758837157206,-0.30996942525704013,0,0.0,0.0,79.438,78.02,80.88,0.9656272572789166,0.3237282811247734,34.311,34.27,34.34,0.024677925358505024,0.012608503439122107,1263.0208333333333,337.21293733213537,,,,,,,561.3269017471014,627.1058273927935,0.2669892122382268,0.44443202117708647,1164.0625,312.7359375,0.26865906040268456,472.65625,0.6007425197021152,1031.25,1625.0,83.33333333333334,83.33333333333334,875.0,1718.75,6.0,0.0,110.0,1593711338.0,1593711348.0,0
0.081394225,0.057636,0.092217,0.006734476391997747,3.068203822349452,-1.5368916957713343,0,0.0,0.0,81.40700000000001,79.58,83.95,1.3533443759812216,0.5232908687654829,34.289,34.23,34.34,0.03534119409414483,0.009870962335856742,682.6923076923077,222.56573593187574,,,,,,,287.93417171218726,300.4882538403502,0.3260117822100715,0.42176273039531653,578.125,115.828125,0.20035135135135135,203.125,0.7729743733034494,531.25,818.7500000000002,61.53846153846154,84.61538461538461,468.75,1125.0,4.333333333333333,62.5,115.0,1593711343.0,1593711353.0,0
0.079409,0.008965,0.108867,0.021389630000306224,3.7028109652505474,-2.0801535507504405,0,0.0,0.0,84.322,81.18,87.57,2.062817490715063,0.7110008595087773,34.272000000000006,34.21,34.39,0.050159744815938115,0.027549489268847722,640.625,147.9781607457408,,,,,,,169.23230577318176,175.60421106086181,0.2309902997006686,0.26416750169472275,664.0625,173.7421875,0.2616352941176471,214.84375,0.8744084651548304,500.0,756.25,50.0,92.85714285714286,421.875,890.625,7.0,31.25,120.0,1593711348.0,1593711358.0,0
