HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,window_start_sec,start_unix,end_unix,label
,,0.040979165470691956,0.13932913227590668,0.021078769603407255,0.2013870673500059,0.2941177110723902,0.20348459317633913,0.6918474662216317,-1.9709162867099013,5790.0,1587649030.0,1587649090.0,2
,,0.039541975821473674,0.14916748037030303,0.03454943985677456,0.22325889604855126,0.2650844253942757,0.17711265495496598,0.6681367820517403,-1.9026855749537703,5820.0,1587649060.0,1587649120.0,2
,,0.03568303317816794,0.10540949493512275,0.014065226920542432,0.15515775503383314,0.3385182065442024,0.22997905048566233,0.6793698124346896,-2.249902562158804,5850.0,1587649090.0,1587649150.0,2
,,0.014671929157844151,0.06344909397047273,0.007111894752808438,0.08523291788112532,0.23123938010323708,0.1721392335565368,0.7444200614950837,-2.757517364348866,5880.0,1587649120.0,1587649180.0,2
,,0.015175579893211525,0.09659066060598032,0.042279383255653724,0.15404562375484557,0.1571122901324473,0.09851354114001029,0.6270263202004271,-2.3372732235350955,5910.0,1587649150.0,1587649210.0,2
,,0.03894026725281012,0.08701891324065414,0.016397663900730837,0.1423568443941951,0.4474919968848533,0.27353983167105095,0.6112731257212562,-2.441629790383374,5940.0,1587649180.0,1587649240.0,2
,,0.04585158707579713,0.06025392127518672,0.012278685194475973,0.11838419354545983,0.7609726654367864,0.3873117322726873,0.5089693097588156,-2.809187625323617,5970.0,1587649210.0,1587649270.0,2
,,0.015448085161412422,0.1478650497471335,0.020213345159202065,0.18352648006774797,0.10447421610333511,0.08417360348059763,0.8056878205943349,-1.9114552472171393,6000.0,1587649240.0,1587649300.0,2
,,0.03379019906746178,0.14523902381753562,0.02565357990725411,0.2046828027922515,0.2326523421825841,0.16508567699142795,0.709580980112677,-1.9293744536267547,6030.0,1587649270.0,1587649330.0,2
,,0.03207934325433856,0.13337538196045468,0.015561306134761504,0.18101603134955474,0.24051922313407112,0.1772182442360096,0.7368153028551233,-2.0145877055558503,6060.0,1587649300.0,1587649360.0,2
,,0.03485108630161324,0.1466732686315024,0.03495418786527566,0.2164785427983913,0.23761034731674305,0.16099095019348136,0.6775418327168838,-1.9195478283544052,6090.0,1587649330.0,1587649390.0,2
,,0.05589566000073511,0.0645497885309505,0.01940582226459516,0.1398512707962808,0.8659309545829745,0.3996793141919852,0.46156025728918254,-2.740318437745193,6120.0,1587649360.0,1587649420.0,2
,,0.05298388617756212,0.08237531552023061,0.020270186984370997,0.15562938868216372,0.6432010104355809,0.340449105572015,0.5293043699378833,-2.496469455875686,6150.0,1587649390.0,1587649450.0,2
,,0.027905272643949257,0.1193896345972292,0.01976928993189664,0.1670641971730751,0.2337327921145751,0.16703323103417522,0.7146332764137607,-2.1253628942105673,6180.0,1587649420.0,1587649480.0,2
,,0.03072027282310815,0.05681260706812998,0.038440036368988115,0.12597291626022625,0.5407298557214288,0.24386410773922476,0.45099064747195644,-2.867997022458669,6210.0,1587649450.0,1587649510.0,2
,,0.03261582053090278,0.11128173840668155,0.010628196114513044,0.15452575505209737,0.29309229886135985,0.2110704491940943,0.7201501029337383,-2.195690109574147,6240.0,1587649480.0,1587649540.0,2
,,0.0074874703821046565,0.15483592617835776,0.009675095519300384,0.17199849207976278,0.04835744886157577,0.04353218619284411,0.9002167653106747,-1.8653892634976579,6270.0,1587649510.0,1587649570.0,2
,,0.01754395378592668,0.16410590560649202,0.010387014398182678,0.1920368737906014,0.10690629152612678,0.09135721405804988,0.8545541403961536,-1.8072432936817682,6300.0,1587649540.0,1587649600.0,2
,,0.04042098571905335,0.09844074479512636,0.019981952824723953,0.15884368333890367,0.41061235165557713,0.2544702116533804,0.6197334557213485,-2.3183004875073436,6330.0,1587649570.0,1587649630.0,2
,,0.047731016059365985,0.10047121642388471,0.01778051226023824,0.16598274474348895,0.4750715454463139,0.2875661330527452,0.6053112121934947,-2.297883996246832,6360.0,1587649600.0,1587649660.0,2
,,0.05978881384348543,0.10840021073443692,0.022004806875047314,0.19019383145296964,0.5515562510294229,0.31435727114141326,0.5699459856627458,-2.2219252459338596,6390.0,1587649630.0,1587649690.0,2
,,0.03963668963278137,0.08103977248434631,0.009794387600219967,0.13047084971734765,0.4891016894258633,0.3037972828309955,0.6211331700522458,-2.512815226494486,6420.0,1587649660.0,1587649720.0,2
,,0.0355535388940692,0.09488885863009594,0.01923275519065779,0.14967515271482293,0.37468612656273087,0.23753801649235393,0.6339653369914264,-2.355048981416414,6450.0,1587649690.0,1587649750.0,2
,,0.027951266448316095,0.1350546381313188,0.06356391476794886,0.22656981934758375,0.20696265478226678,0.1233671215733976,0.5960839732326824,-2.002075855524889,6480.0,1587649720.0,1587649780.0,2
,,0.026573220721648243,0.11333064951648938,0.01765086996287189,0.1575547402010095,0.23447514714703802,0.16866024270514443,0.7193096784768348,-2.177445631057291,6510.0,1587649750.0,1587649810.0,2
,,0.03052092115082361,0.12307490148449073,0.04597734501478576,0.1995731676501001,0.24798655763839633,0.15293098521307305,0.61669062496553,-2.094962153789213,6540.0,1587649780.0,1587649840.0,2
,,0.030284721244865538,0.1387051289088724,0.030125881129760435,0.19911573128349838,0.21833887097832003,0.1520960752304726,0.6966055771423999,-1.9754049739104842,6570.0,1587649810.0,1587649870.0,2
,,0.03503712386558132,0.09947592350731006,0.01549267018205057,0.15000571755494196,0.35221712581544007,0.23357192270186913,0.6631475461652016,-2.3078396388991194,6600.0,1587649840.0,1587649900.0,2
