HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,window_start_sec,start_unix,end_unix,label
,,0.022400929566134258,0.1276550338601746,0.008122160527672855,0.15817812395398173,0.1754801897641643,0.1416183793699013,0.8070334295867163,-2.058423701209862,0.0,1593006542.0,1593006602.0,2
,,0.05460830008921596,0.022823319359834105,0.00044378323664068524,0.07787540268569075,2.392653725264829,0.7012265517215744,0.293074816600952,-3.779972486763668,30.0,1593006572.0,1593006632.0,2
,,0.03803465641551979,0.11399852591582911,0.014371363291407062,0.16640454562275597,0.3336416511526009,0.22856741246567558,0.6850685808443426,-2.1715697612341445,60.0,1593006602.0,1593006662.0,2
,,0.03866740931499446,0.13432250203743312,0.02257670561061204,0.19556661696303962,0.2878699304173071,0.1977198865300322,0.6868375805816537,-2.007511638948631,90.0,1593006632.0,1593006692.0,2
,,0.044313890969664246,0.0802082946215354,0.035507839114954566,0.1600300247061542,0.5524851410787415,0.2769098552039409,0.5012077875312037,-2.523128345248912,120.0,1593006662.0,1593006722.0,2
,,0.022213104163674086,0.0014265382480208213,0.00016427954503374646,0.023803921956728653,15.571334448615408,0.9331699290584806,0.059928706312095,-6.552504575177479,150.0,1593006692.0,1593006752.0,2
,,0.02510763377230784,0.1267814418655931,0.04744918319884756,0.1993382588367485,0.19803871452200086,0.12595491662676842,0.6360115845569964,-2.065290605217188,180.0,1593006722.0,1593006782.0,2
,,0.013700956615030246,0.10610812859959201,0.017070804251166256,0.13687988946578852,0.1291225921694648,0.10009473757249515,0.7751915128928597,-2.2432966236710477,210.0,1593006752.0,1593006812.0,2
,,0.0002601076927049191,0.0019698848002743796,0.0004443724754990037,0.0026743649684783026,0.13204208320643393,0.0972596095786129,0.7365803932868714,-6.229780214960169,240.0,1593006782.0,1593006842.0,2
,,0.06516866999916296,0.03536623793422917,0.0029642318598905775,0.1034991397932827,1.842680302054111,0.6296542186661974,0.3417056219487972,-3.341997644604376,270.0,1593006812.0,1593006872.0,2
,,0.040474020729186905,0.04742225860073201,0.0012078494997161664,0.08910412882963509,0.8534815068585145,0.45423283141651316,0.5322116856268491,-3.0486635697715863,300.0,1593006842.0,1593006902.0,2
,,0.04164327387259539,0.12943841020062452,0.025933564055098515,0.19701524812831844,0.32172269273123744,0.2113708165647799,0.6569969148597051,-2.0445501078809993,330.0,1593006872.0,1593006932.0,2
,,0.010628036341835794,0.051333127019253334,0.0011480829178289404,0.06310924627891808,0.20704050111440853,0.16840696044544803,0.8134010473264263,-2.9694189843501486,360.0,1593006902.0,1593006962.0,2
,,0.04861786768678111,0.05611931570540818,0.017671654401076285,0.12240883779326558,0.8663303726295408,0.3971761235809712,0.45845803879117974,-2.8802752172397477,390.0,1593006932.0,1593006992.0,2
,,0.022673701232497234,0.07257518930397922,0.008499788441934173,0.10374867897841063,0.3124167012162938,0.21854448129614712,0.6995288038229538,-2.6231321606838125,420.0,1593006962.0,1593007022.0,2
,,0.06261406250669423,0.10546078565964494,0.008754731928793332,0.1768295800951325,0.5937189080761209,0.3540926946329257,0.5963978741730208,-2.2494160950721285,450.0,1593006992.0,1593007052.0,2
,,0.03607448166394771,0.01604042565668214,0.0010461527459469451,0.05316106006657679,2.2489728412487455,0.6785884558880028,0.30173261474834684,-4.132643139696239,480.0,1593007022.0,1593007082.0,2
,,0.007350828070783255,0.0004977167120299724,2.883279696686428e-06,0.007851428062509914,14.769100359926412,0.9362408993954879,0.0633918706338964,-7.60547949414237,510.0,1593007052.0,1593007112.0,2
,,0.04400625294953511,0.11006915303863948,0.015552140744660116,0.1696275467328347,0.39980550167481377,0.259428694201688,0.6488872542146685,-2.206646446728513,540.0,1593007082.0,1593007142.0,2
,,0.05018157896554826,0.11462200941090228,0.015647480614357986,0.18045106899080854,0.4378005517740926,0.2780896740938914,0.6351971758989173,-2.166115438945189,570.0,1593007112.0,1593007172.0,2
,,0.03945806732478927,0.035326681464596756,0.0011220784041144688,0.07590682719350049,1.11694803159852,0.5198223767699233,0.4653953112088658,-3.3431167516973406,600.0,1593007142.0,1593007202.0,2
,,0.01722161525786465,0.000996139043111124,5.860493618552772e-05,0.018276359237161303,17.288364889381707,0.9422891635248641,0.05450423851845041,-6.911623708605868,630.0,1593007172.0,1593007232.0,2
,,0.03065010076784542,0.09688073503753662,0.01253363491480394,0.140064470720186,0.31636940776687933,0.21882851953995316,0.6916867249731037,-2.3342745926734247,660.0,1593007202.0,1593007262.0,2
,,0.01963328444534809,0.15401495692971706,0.029260053788676396,0.20290829516374154,0.12747647914681112,0.09675939778363697,0.7590372626482872,-1.8707055583643928,690.0,1593007232.0,1593007292.0,2
,,0.030004409262161635,0.09655618871536924,0.022491620905795096,0.14905221888332598,0.31074558411381986,0.20130132571624626,0.6478010823237109,-2.33763017360804,720.0,1593007262.0,1593007322.0,2
,,0.016737678894859404,0.09552021990460861,0.014838624219437305,0.1270965230189053,0.1752265532007203,0.13169265765334676,0.7515565149677635,-2.348417327156569,750.0,1593007292.0,1593007352.0,2
,,0.030392191374638115,0.019470384237956266,0.0003211808448150941,0.05018375645740948,1.5609446122480977,0.605618102750672,0.3879818015313503,-3.9388607249208394,780.0,1593007322.0,1593007382.0,2
,,0.013354787234255759,0.09303469311162056,0.0046852268642652815,0.11107470721014161,0.14354631361263306,0.12023247748913632,0.8375866608012638,-2.3747828111815994,810.0,1593007352.0,1593007412.0,2
