HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,window_start_sec,start_unix,end_unix,label
,,0.031013331180296137,0.10785282680784843,0.014179955352433592,0.15304611334057816,0.2875523256849797,0.2026404362930879,0.7047080416073047,-2.2269876959401755,660.0,1595255206.0,1595255266.0,2
,,0.02327018757235182,0.0015570882918057901,7.322467417911517e-05,0.024900500538336725,14.944680847458471,0.9345268998317974,0.06253240931476467,-6.46493768137592,690.0,1595255236.0,1595255296.0,2
,,0.046672849184300584,0.019515435180820145,0.0004992194574951692,0.0666875038226159,2.391586390559759,0.6998739870133256,0.29264006091350847,-3.9365495787867615,720.0,1595255266.0,1595255326.0,2
,,0.05938906955018566,0.03799808286143983,0.001953513727156098,0.09934066613878159,1.5629491036889454,0.5978324069945085,0.38250279908889967,-3.270219571543188,750.0,1595255296.0,1595255356.0,2
,,0.04726592207673527,0.12059828316152849,0.004360566066140567,0.17222477130440433,0.39192864805071587,0.2744432274100313,0.700237731472281,-2.1152902305986037,780.0,1595255326.0,1595255386.0,2
,,0.028326853706974416,0.10464823631589941,0.022233269218584928,0.15520835924145876,0.2706863938104484,0.18250855717704048,0.6742435576752499,-2.2571506834008077,810.0,1595255356.0,1595255416.0,2
,,0.003633010620616211,0.00033311406227181886,3.507806038999918e-06,0.00396963248892703,10.906206108019838,0.915200747361425,0.08391559248898071,-8.007025597288813,840.0,1595255386.0,1595255446.0,2
,,0.005298344317803601,0.0006785608810488512,2.3251432380191797e-06,0.005979230342090472,7.808207731654016,0.8861248044762868,0.11348632553460238,-7.2955363538291875,870.0,1595255416.0,1595255476.0,2
,,0.04429424758286956,0.05112830837582276,0.0011608361858007638,0.09658339214449307,0.86633508891554,0.45861142997134935,0.5293695659325417,-2.9734169552053347,900.0,1595255446.0,1595255506.0,2
,,0.05078456481951917,0.150613619156474,0.008765354153854307,0.2101635381298475,0.33718441336144095,0.24164308077142488,0.7166496172300775,-1.8930375350592192,930.0,1595255476.0,1595255536.0,2
,,0.020232905796255876,0.11868821581297306,0.026210771641480154,0.1651318932507091,0.17047105862757728,0.12252573017822524,0.7187479866943475,-2.13125525935485,960.0,1595255506.0,1595255566.0,2
,,0.007659622009068154,0.051977665975149474,0.005256845944651844,0.06489413392886947,0.1473637160377732,0.11803257930006236,0.8009609317249268,-2.9569411531403533,990.0,1595255536.0,1595255596.0,2
,,0.023047123247162064,0.0763741573935331,0.0425883004744982,0.14200958111519335,0.3017659904044134,0.16229273451956047,0.537809891373322,-2.572110894041801,1020.0,1595255566.0,1595255626.0,2
,,0.05069812827047018,0.10593801709288983,0.026554035778953468,0.18319018114231347,0.47856406662790796,0.2767513408979313,0.5782952799778642,-2.244901100306456,1050.0,1595255596.0,1595255656.0,2
,,0.011922603661119024,0.09829660439607624,0.008081958261719516,0.11830116631891478,0.12129212127285799,0.10078179304655561,0.830901397295522,-2.31976579570056,1080.0,1595255626.0,1595255686.0,2
,,0.04110787837156665,0.16082061484852353,0.012766431497132726,0.2146949247172229,0.25561323969744826,0.19147112315631262,0.7490657502050511,-1.8274657286601181,1110.0,1595255656.0,1595255716.0,2
,,0.015984064791255793,0.037497548327490034,0.01806778284827432,0.07154939596702015,0.42626959639218936,0.22339901791237288,0.5240791738447951,-3.2834797260766013,1140.0,1595255686.0,1595255746.0,2
,,0.018747471231888746,0.09463423720779919,0.03436545908928071,0.14774716752896866,0.19810453156316762,0.12688887066625454,0.6405147306072337,-2.35773595288408,1170.0,1595255716.0,1595255776.0,2
,,0.06368715534653373,0.1393742299120666,0.021402973937642268,0.2244643591962426,0.45695072458312386,0.2837294774751029,0.620919198090668,-1.9705926620776077,1200.0,1595255746.0,1595255806.0,2
,,0.019821638517572744,0.10017204410752431,0.0555903371373979,0.17558401976249494,0.19787595126137458,0.11288976379732413,0.5705077503238779,-2.300866130182282,1230.0,1595255776.0,1595255836.0,2
,,0.05658887162130897,0.09939153571485321,0.04151284750024365,0.1974932548364058,0.5693530260329024,0.28653571823596985,0.5032654699887574,-2.30868832271951,1260.0,1595255806.0,1595255866.0,2
,,0.0554010496904396,0.08528449764040343,0.021813472741022844,0.1624990200718659,0.6496028143829204,0.34093159248553156,0.5248308426886882,-2.4617625802695096,1290.0,1595255836.0,1595255896.0,2
,,0.045866252680839124,0.13563439674247527,0.026783578033611227,0.20828422745692562,0.3381609221731854,0.22020991815294574,0.6511985972174741,-1.9977922723503447,1320.0,1595255866.0,1595255926.0,2
,,0.0341228519771112,0.05909554671275351,0.007004727003834643,0.10022312569369934,0.5774183314179763,0.34046884629598395,0.5896398291683755,-2.828599709139228,1350.0,1595255896.0,1595255956.0,2
,,0.022135816492990255,0.01364329552775386,0.001316130354293482,0.0370952423750376,1.6224684459821672,0.5967292589490142,0.36779097949592604,-4.29450704814265,1380.0,1595255926.0,1595255986.0,2
,,0.049101020742261255,0.09780117880428131,0.007101819817862778,0.15400401936440536,0.5020493755041716,0.31882947565204833,0.6350560148229865,-2.3248186488004943,1410.0,1595255956.0,1595256016.0,2
,,0.03051010453762963,0.00215868552219413,2.4474026861705443e-05,0.032693264086685464,14.133649493613394,0.9332229555523354,0.06602844905514553,-6.13825579707029,1440.0,1595255986.0,1595256046.0,2
,,0.03465538875177814,0.10243432679462922,0.0096932769726257,0.14678299251903307,0.3383181188983533,0.23609948371426237,0.6978623683622389,-2.278533399947472,1470.0,1595256016.0,1595256076.0,2
